제목,축제 기간,주소,비용,상세 내용
춘천 반려동물 페스티벌,2024.09.27 ~ 2024.09.29,강원특별자치도 춘천시 서면 박사로 854 강원정보문화산업진흥원 애니메이션 박물관 일원,무료,"""기억에 서면""이라는 컨셉으로 반려동물 친화도시 춘천에서 펼쳐지는 반려동물 페스티벌로 반려인과 반려동물, 비반려인 모두 함께 즐길 수 있으며 성숙한 반려동물 문화 정착을 위해 진행된다.
[행사내용]
1. 무대 프로그램 : 개막식, 반려동물 영화제, 반려동물 뮤직페스티벌
2. 전시 프로그램 : 반려동물 산업박람회
3. 체험 프로그램 : 반려인 · 비반려인 체험 프로그램, 반려견 놀이터 등
4. 부대 프로그램 : 관람객 쉼터 및 푸드트럭 등"
코리아 튜닝카 페스티벌,2024.09.27 ~ 2024.09.29,충청북도 제천시 고암동 1200-1,무료,"코리아 튜닝카 페스티벌은 우리나라 자동차 튜닝 문화를 널리 알리고, 건전한 튜닝 문화를 함께 만들어가기 위해 개최하는 국내 유일의 체험형 자동차 튜닝 행사이다. 멋진 튜닝카들을 직접 만져보고 타볼 수 있는 색다른 경험을 할 수 있다. 오프로드 체험, 드리프트 체험, 짐카나 체험 등 짜릿한 튜닝카 동승 체험과 빌드업, 드레스업, 슈퍼카, 캠핑카 등 멋진 튜닝카들이 한자리에 모이는 전시도 준비되어 있어, 자동차를 좋아하는 누구나 즐길 수 있다. 또한, 창의력을 뽐낼 수 있는 ‘튜닝카 발명왕’ 대회와, 재미있는 자동차 튜닝 퀴즈쇼인 ‘도전! 튜닝벨’, 어린이 놀이터 등 다양한 부대 행사가 마련되어 있어 온 가족이 함께 웃고 즐길 수 있다. 자동차 튜닝에 대한 열정을 가진 사람들과 튜닝 문화를 처음 접하는 사람들 모두가 함께 어울려 즐길 수 있는 특별한 경험을 선사한다.
[행사내용]
1. 개막식
- 축하공연, 내외빈 축사, 개막 이벤트

2. 체험행사
- 드리프트 체험, 짐카나 체험, 오프로드 체험

3. 전시행사
- 튜닝카 전시, 튜닝인증부품 전시, 캠핑카 전시, 특별 전시, 충북 제천 모빌리티 산업관

4. 참여행사
- 튜닝카 발명왕, 도전! 튜닝벨, 피지컬 왕!, 랜덤 노래방, 자동차 관련 VR 체험

5. 부대행사
- 다양한 공연, 플리마켓, 어린이 놀이터, 추억의 오락실, 포토존, RC카, 네컷사진"
피크타임 페스티벌,2024.09.27 ~ 2024.09.28,충청남도 아산시 신정로 616 (방축동),무료(스탠딩 존만 사전 예매),"2024년 가을, '피크타임 페스티벌'이 돌아왔다. '""야 너두 찐? 찐들의 세상에 놀러와!"" 무뚝뚝한듯 보이지만 정이 많은 타입, 비밀스러운 취미부자 굿즈 모으는것을 좋아하는, 틈만나면 누워있으려고 하는, 기분좋을때 콧노래를 흥얼 거리는 습관이 있는 이시대의 피크(Pic)들, 무계획에 즉흥적인 편이며 느낌에 따라 그날그날 계획이 달라지지만 자유롭게 노는것과 친해지는 과정을 즐기는 닉스(Nix)들, 주변사람들을 기쁘게 해주는것을 좋아하는 평화쟁이 칠린&러키&해피들까지 피크닉스 프렌즈로서 2024년 피크타임페스티벌에서 축제를 즐길 수 있다.
[행사내용]
1. 1일차
- 뮤직 페스티벌 : 밴드, 케이팝 무대 공연, EDM 공연
- 공감토크 쇼 : 도지사님과 함께하는 토크쇼
- 크리에이터 쇼 : 유명 셀럽, 유튜버 초청 공연 및 팬밋업
- 체험 부스 : 다양한 체험 및 게임부스, 청년정책마켓, 잡페스티벌
- 맥주 축제 : 주류 팝업 부스, 청년 농부 농산물 판매

2. 2일차
- 뮤직 페스티벌 : 밴드, 케이팝 무대 공연, EDM 공연
- 공감토크 쇼 : 도지사님과 함께하는 토크쇼
- 고막남친 고막여친 : 전국 청년 음악 콘테스트
- 무대 공연 : 뮤직컬, 태권도 공연
- 체험 부스 : 다양한 체험 및 게임부스, 청년정책마켓, 잡페스티벌"
한성백제문화제,2024.09.27 ~ 2024.09.29,서울특별시 송파구 올림픽로 424 올림픽공원  올림픽공원 평화의 광장,"무료(일부 프로그램 유료 - 체험부스 : 1000원~1만원, 먹거리장터 3000원~1만원)","송파에 위치한 한성백제 도읍지에서 백제가 남긴 위대한 문화유산을 바탕으로 백제의 자취를 느낄 수 있는 체험 프로그램을 운영하고, 한성백제 시대부터 이어져 온 우리 문화의 힘을 느낄 수 있는 공연 프로그램을 기획하여 시민들에게 한성백제 시대를 알리고, 수준 높은 공연을 통해 시민과 외국인이 함께 즐길 수 있는 대한민국의 대표 문화축제로 자리매김하고자 한다.
[행사내용]
1. 메인프로그램 : 개막식, 폐막식, 한성문화콘서트
2. 부대프로그램 : 체험프로그램, 체험마을, 홍보부스, 먹거리장터
3. 소비자 참여 프로그램 : 체험프로그램, 체험마을, 홍보부스, 먹거리장터
4. 기타 내용 : 송파구민의날, 한마음 어울마당"
행주가 예술이야,2024.09.27 ~ 2024.10.13,경기도 고양시 덕양구 행주로15번길 89 (행주외동) 행주산성,무료 (체험비 별도),"임진왜란 3대 대첩지 행주산성에서 즐기는 달빛여행, 형형색색 빛조명과 아름다운 풍경, 그리고 문화유산을 즐기다보면 어느새 임진왜란에서 목숨을 걸고 지켜낸 행주의 인물과 이야기에 빠져든다.
[행사내용]
1. 메인프로그램 : 충장사 미디어아트 Generate New Goyang
- 개막특별공연 24. 9. 28.(토) 20:00 K타이거즈와 미디어아트 융복합 공연
- 폐막특별공연 24. 10. 12.(토) 20:00 고양예술고등학교 아름드리무용단 특별공연

2. 부대프로그램 : 행주산성 달빛여행, 22가지 빛조명 포토존, 산성음악회

3. 소비자 참여 프로그램 : 조선 무기만들기, 조선 MBTI캐리커처, 컬러링, 행주밤마실, 목판인쇄, 국궁체험, 한복체험, 전통놀이 등

4. 기타 내용 : 행주산성 음식점 카페 공동할인 프로모션, 외국인유학생과 런케이션"
백두대간 봉자페스티벌,2024.09.26 ~ 2024.10.06,경상북도 봉화군 춘양면 춘양로 1501,축제기간 무료입장,"봉자페스티벌’은 평소에 만나기 어려운 자생식물을 활용한 우리꽃 축제로 ‘봉화 자생꽃 페스티벌’의 줄임말이다. 우리 산야에서 자라는 다양한 자생식물을 만날 수 있고, 백두대간 정체성 및 ESG 가치를 반영하는 문화행사와 볼거리가 가득하다. 특히 지역농가에서 직접키운 꽃으로 축제장을 연출하여 지역소득창출 및 지역상생을 도모한다. 방문자센터에서부터 계약재배농가와 함께한 '봉자네 무릉화원'과 연구부서와 함께 특별전시하는 '사명'이 배치되어 있다. 축제기간 특화프로그램으로 방문자센터와 전시원 내부를 관람하며 '꽃아일체 도감'을 만들어 볼 수 있다. MZ세대를 대상으로 '무릉화원을 뛰놀다'라는 GPS기반 챌린지프로그램도 준비되어 있다. 10월 1일 야간개장을 통한 '가을 밤 클래식공연', 10월 3~4일 역시 야간개장을 통한 꽃마숲공연장에서 '봉자夜 놀자'프로그램이 진행되며, 10월 5일 제2회 '백두대간 가든하이킹'이 진행된다. 마지막으로 방문자센터 외부에서 다양한 문화행사와 프리마켓을 즐길 수 있다.
[행사내용]
1. 메인프로그램
- 제2회 백두대간 가든하이킹(10.5. 사전예약 필요 *홈페이지 참조)
- 꽃의전설을 찾아 떠나는 챌린지 '무릉화원을 뛰놀다'
- 축제기간만 즐길 수 있는 '꽃아일체 도감'
- 숲속놀이터 숲레포츠 '나무야 놀자'

2. 문화공연
- 야간행사 ""봉자夜놀자"" (10.3.~4. 18:00~20:00)
- 꽃마숲공연장 무릉화원 마술 드로잉 공연(10.3), 가을밤 클래식 공연(10.4)

- 기타 3. 체험프로그램
- 숲해설 : 자생식물 콕해설'봉자의 가을'
- 체류형 : 가든스테이 '봉자랑 꽃길 산책' (1박 6만원)
- 셀프무료체험 : 나도 식물학자, 꽃풍선 만들기, 봉자쌤의 숲교실
- 호랑이숲 : 백두산호랑이 생태해설 프로그램
*프로그램에 따라 교육비 책정 및 사전예약 필요

4.소비자참여 이벤트
- 일일선착순 300명 '씨앗키트'증정
- 신규회원 가입자 선착순 2,000명'백두랑이 그립톡'증정
- 일부상품 가든샵10%할인

5. 특별전시
- 기후변화 대응 종자 보전의 가치 및 춘양사과 특장점 특별전시 '사명, 미래를 지키는 사람들'
- 식집사 문화로 알아보는 식물 및 국내외 유명인물 스토리텔링 특별전시 '식물덕후'
- 계약재배 농가 소개 및 봉화 자생식물 특별전시 '봉자네 무릉화원'

6. 프리마켓
- 숲을만드는프리마켓 '숲만플'
- 구매수량에 따라 산불피해지역에 나무를 심어요!

* 영주,안동 - 수목원 주말 무료 셔틀버스 운행, 네이버 사전예약으로 이용가능
* 축제기간 서울/대구 - 수목원 주말 무료 셔틀버스 운행 예정 (홈페이지 참조)
* 프로그램 내용은 변경될 수 있습니다."
NS푸드페스타,2024.09.26 ~ 2024.09.27,전북특별자치도 익산시 함열읍 익산대로78길 137,무료,"최고의 맛을 먹고! 보고! 즐기는 ""NS FOOD FESTA 2024 in IKSAN""은 국내 농수축산업과 식품산업의 발전을 위해 지난 2008년부터 이어져온 식품문화축제이다. 요리경연, 수상작 미식회, 식품 스타트업 경진대회, 쿠킹클래스, 소스 산업 기술교류 세미나 등의 다양한 프로그램과 미식투어, 프레쉬마켓, 청년창업 상생마켓 등의 전시/체험 및 시식/판매 부스가 진행될 예정이다. 축제 관련 공지사항 및 세부정보는 공식 홈페이지(http://pr.nsmall.com/customer/foodfesta.do)에서 확인할 수 있다.
[행사내용]
1. 공식행사장 프로그램
(1) 1일차
- 요리경연(영셰프 챌린지/프레쉬박스/가정간편식)
(2) 2일차
- 식품 스타트업 경진대회, 소스 산업 기술교류 세미나, 식품 스타트업 홍보존, 프레쉬 미식회, 쿠킹클래스

2. 야외 축제장 프로그램(상설운영)
(1) 전시/체험
- 하림그룹 통합몰 홍보존, 미식투어, 브랜드 홍보존, 익산 성공취업 박람회
(2) 시식/판매
- 프레쉬마켓, 프레쉬 바, 익산 맛슐랭
(3) 공연/이벤트
- 신나는 예술버스 공연 및 경품 이벤트 등 다양한 레크리에이션 진행"
강남페스티벌,2024.09.26 ~ 2024.09.29,서울특별시 강남구 영동대로 513 (삼성동),무료,"2024 강남페스티벌은 올해로 13회째를 맞는 강남의 대표 문화축제이다. 강남의 허브인 코엑스 펼쳐지는 4일간의 콘서트와 미식여행&K-컬처존, 패션의 메카 압구정 로데오에서 펼쳐지는 패션 페스타, 강남 전역에서 펼쳐지는 전시, 버스킹, 심야영화제와 10월 3일 개최되는 국제평화마라톤까지 오직 강남에서만 즐길 수 있는 다양한 프로그램들이 준비되어 있다.
[행사내용]
1. 메인프로그램
1)개막제 : 코엑스 동측광장 9.27.(금) 19:30~21:10
2)강남패션페스타: 압구정로데오거리 9.28.(토) 12:00~21:00
3)오픈에어 콘서트(레트로): 코엑스 동측광장 9.28.(토) 19:00~21:50
4)영동대로 K-POP콘서트 : 코엑스 동측광장 9.29.(일) 19:00~22:00
5)미식여행&K-컬처존
- 미식여행 코엑스 K-POP광장 9.26.(목)~9.29.(일) 11:00~22:00
- K-컬처존 별마당 도서관 야외 9.26.(목)~9.29.(일) 12:00~19:00

2. 서브 프로그램
1)페스티벌 프리쇼 : 코엑스 동측광장 9.26.(목) [팝페라 12:00 / 헝가리 국립무용단 16:00 / 국악어울림축제18:30]
2)심야 힐링극장 : 코엑스 동측광장 9.26.(목)~9.28.(토) 23:00~01:00
3)나도K-POP스타 : 코엑스 동측광장 9.28.(토) 15:00~16:30
4)패션전시 9.26.(목)~9.29.(일)
-코엑스 로비 : 나주시 천연염색 패션전시
-양재천 : 업사이클 패션전시
-강남역 : 강남 패피 사진전
5)스트릿 퍼포먼스 : 강남 전역, 9월초 공연일정 업데이트"
거창한마당대축제,2024.09.26 ~ 2024.09.29,경상남도 거창군 거창읍 양평리 1141-1,무료,"군민의 날 기념식을 시작으로 군민체육대회, 아림예술제, 평생학습축제, 농산물대축제, 자전거Tour, 향우연합회 한마음대축제, 거창군 온가족 다문화축제 등 모두가 함께 즐길 수 있는 행사이다. 또 거리퍼레이드, 키즈랜드 페스티벌, 푸드트럭, 거창한야시장, 수상멀티미디어쇼 등이 준비되어 있다.
[행사내용]
1. 메인프로그램
- 군민의날 기념식, 군민체육대회, 아림예술제, 평생학습축제, 농산물대축제, 자전거 Tour 창포원 소풍, 향우연합회 한마음체육대회 등

2. 부대프로그램
- 거리퍼레이드, 키즈랜드, 푸드트럭페스티벌, 청년존, 거창한 야시장, 수상멀티미디어쇼, 밀리터리서바이벌

3. 소비자 참여 프로그램
- 키즈랜드, 청년존, 밀리터리서바이벌 등

4. 먹거리
- 푸드트럭페스티벌, 향토음식관, 지역음식관, 청년존 등"
동해 무릉제,2024.09.26 ~ 2024.09.29,강원특별자치도 동해시 덕골길 10 (천곡동),무료,"강원도 동해시에서 개최되는 무릉제는 동해시민의 화합과 번영을 염원하는 동해시 최대의 한바탕 잔치로서 동해시 제1명승지인 무릉계곡의 명칭을 이용하여 1984년부터 가을이 시작되는 시기에 열리고 있다. 올해 무릉제는 동해시의 아름다운 사계를 담아 축제를 다채롭게 빛내고자 하는 의미로 '색(色)다른 동해, 팔레트 페스티벌'을 슬로건으로 진행된다. 동해무릉제는 지역의 대표적인 전통역사민속축제 중 하나로, 지리적 특성이 녹아 있는 행사이다.
[행사내용]
1. 제전행사
- 산신제, 풍년제(풍년 기원 제례)

2. 공연행사
- 국제우호교류 공연(요령성 무용단), 개막식, 개막공연, 드론라이트쇼, 낭만콘서트 웃는날 좋은날 코미디쇼, DMF 댄스페스티벌, 세대공감 콘서트, 동해가요제(듀엣가요제), 시민 퍼레이드

3. 민속행사
- 전통민속놀이(장기, 윷놀이, 제기차기, 투호놀이), 민속농악

4. 문화예술행사
- 무릉사생대회, 무릉백일시화전, 수석전시회, 제27회 동해예술제

5. 체험·홍보행사
- 음식시식체험관, 민속체험관, 웰빙체험관, 도시재생 홍보관, 기획체험관, 기관·단체·기업홍보관

6. 기획행사
- 동해사랑영수증투어, 포토존 등

※ 일부 축제 먹거리 정보만 업로드 되었으며, 더 많은 먹거리 정보는 축제 홈페이지에서 확인 바랍니다."
세계 민속춤 축제,2024.09.26 ~ 2024.09.26,서울특별시 성동구 행당동 192-3,무료,"세계 민속춤 축제는 2014년부터 성동구 왕십리광장에서 개최하고 있으며, 성동구민뿐만 아니라 남녀노소 모두 함께 즐기는 성동구 대표축제로 발전시켜 나가고 있다.매년 우리나라를 포함한 세계 정상급 민속 무용단이 참가하고 각국 고유의 생활과 풍속을 아름다운 춤과 음악으로 소개하여 평상시에 볼 수 없는 화려한 민속춤 공연을 관람할 수 있다.
[행사내용]
1. 메인프로그램
- 8개국 민속 무용단의 공연"
안양천 빛축제,2024.09.26 ~ 2024.10.26,서울특별시 구로구 신도림동 282-38 안양천 생태초화원,무료,"안양천빛축제는 생태초화원에 가을에 어울리는 초화류와 빛 조형물을 이용한 빛축제로, 2022년부터 시작되었다. 도심에서 중요한 녹지, 여가 공간인 안양천에서 휴식을 즐기면서 빛조형물을 즐길 수 있다.
[행사내용]
1. 메인프로그램 : 빛축제 관람
2. 부대프로그램 : 버스킹 공연
3. 소비자 참여 프로그램 : 구로가든페스타, 야외도서관"
울산고래축제,2024.09.26 ~ 2024.09.29,울산광역시 남구 장생포고래로 265 (매암동) 장생포 고래문화특구 일원,무료,"수천 년 전 선사시대부터 이어져 온 고래문화를 기념하는 울산의 대표축제인 '울산고래축제'는 근대 포경산업의 중심지였던 '장생포'를 기반으로 1995년부터 개최되고 있다. 올해 9월, 여러분을 찾아갈 2024 울산고래축제는 장생포의 꿈! 울산의 희망! 을 주제로 울산과 고래축제를 사랑하는 많은 분들과 소통하고자 한다.
[행사내용]
1. 메인프로그램 : 미디어 퍼포먼스(홀로그램), 개·폐막식, 불꽃 쇼, 유명 감독 영화 상영 및 GV, 퍼레이드, 뮤지컬 디바 갈라쇼, JSP DJ PARTY, 고래가요제, 댄스 경연대회 등
2. 부대프로그램 : 포스터 디자인 공모전, 플라잉 보드 퍼포먼스, 어린이 그림그리기 대회, 나만의 퍼레이드 카 만들기 공모전 등
3. 소비자 참여 프로그램 : 상설 공연 프로그램, 체험 및 전시 프로그램, 웨일랜드(어린이 놀이공원), 플리마켓, 장생포 고래문화특구 내 시설 연계 프로그램 등
4. 기타 내용 : 2024 울산고래축제 페스티벌 송 'Whaley' 발매 및 sns 댄스 챌린지
5. 먹거리: 장생식당(메인 음식부스), 장생주막(막걸리존), 푸드트럭 등"
청춘대로,2024.09.26 ~ 2024.09.28,서울특별시 광진구 능동로 216 (능동),무료,"""청춘대로"" 축제는 광진구 청년 문화의 중심지가 있는 능동로에서 펼치는 문화예술 공연, 체험이 있는 청년문화종합축제이다. 청년이 중심이 되어 축제를 기획하고 함께 만들어가는 축제로, 청년과 구민이 함께 즐길 수 있는 축제를 모토로 다양한 프로그램으로 채워나갈 예정이다.
[행사내용]
1. 메인프로그램 : 청년 문화예술 공연, 전시, 체험 및 축제 축하 공연 등
2. 부대프로그램 : 동아리 및 청년단체 홍보부스, 청년 버스킹, 포토존 등
3. 소비자 참여 프로그램 : 상권연계 스탬프 투어, 포토존, 체험 부스 등
4. 기타 내용 : 동아리 경연대회"
호러 홀로그램 페스티벌,2024.09.26 ~ 2024.10.03,전북특별자치도 익산시 성당면 함낭로 207,무료,"<2024 호러 홀로그램 페스티벌>은 밤이 되면 죽은자들이 머무는 공간 HOTEL 207로 변화하는 익산 교도소 세트장에서 호러 홀로그램 컨텐츠, 호러 매핑쇼, 이벤트 등을 즐길 수 있는 차별화된 공포 페스티벌이다. 전북 홀로그램 산업의 우수한 기술력으로 구현되는 실감나는 호러 홀로그램 컨텐츠와 함께, 페스티벌 기간 동안 펼쳐지는 무대행사와 호러 코스튬 콘테스트, 호러 브레이킹 던 등의 각종 이벤트, 그리고 공포를 테마로 하는 식음료까지 즐기고 휴식을 취할 수 있는 볼거리, 즐길 거리가 풍성한 축제다.
[행사내용]
1. 메인프로그램 : 호러 홀로그램 컨텐츠 10종
2. 부대프로그램 : 호러매핑쇼, 무대행사
3. 소비자 참여 프로그램 : 브레이킹던 등 참여형 이벤트
4. 기타 내용 : 호러 컨셉의 식음료"
비어페스트 광주,2024.09.25 ~ 2024.09.29,광주광역시 서구 상무누리로 30 (치평동),무료(일부유료),"올해로 4회째를 맞는 비어페스트광주는 처음으로 가을맥주축제로 개최된다. 무더위가 가신 9월 말 콘서트와 결합한 맥주축제 컨셉으로 매일매일 가을에 어울리는 공연무대가 펼쳐질 예정이다. 축제 첫날인 9월 25일에는 ‘나였으면’으로 유명한 나윤권, 2일차에는 먼데이키즈가 관람객들의 귀를 즐겁게할 예정이고 3일차에는 사운드파크페스티벌이 동시개최되어 윤마치, 스텔라장, 밴드다섯이 무대를 꾸미게 된다. 4일차와 5일차에는 유명 TV경연프로그램에서 실력을 검증받은 이젤과 김소연이 무대를 꾸밀 예정이다. 이 밖에도 가을밤에 어울리는 디제잉 공연과 함께 기아타이거즈 치어리더 축하공연 및 다양한 경품행사도 함께 열린다. 이번 맥주축제는 가을행사로 시기를 변경한 만큼 맥주와 함께 할 음식에도 신경을 많이 썼다. 대한민국을 대표하는 푸드트럭 12종과 함께 광주대표음식을 맛볼 수 있다. 부리*치킨, 위*칠리 등 지역 대표 식당은 물론 외국인이 직접 조리하는 세계음식도 맛볼 수 있다.
[행사내용]
1. 메인프로그램
(1) 가수 콘서트
- 수 : 나윤권
- 목 : 먼데이키즈
- 금 : 사운드파크페스티벌(스텔라장, 윤마치, 밴드 다섯, 허지욱, 아트포앙상블)
- 토 : Ejel(싱어게인3)
- 일 : 김소연(싱어게인2)

2. 부대프로그램
(1) DJ음악플레이
(2) DJ음악콘서트
- 수 : DJ 춘디, 목 : DJ H.soo, 토 : DJ 춘디, 일 : DJ 수민
(3) 맥랩소디
(4) 오픈세레머니
- 수 : 기아타이거즈 응원단

3. 소비자 참여 프로그램
- 레크레이션, 맥주경연(맥주까기), 떼맥 퍼포먼스

4. 기타 내용
- 맥주, 음식부스, 푸드트럭 운영, 사전예약자 대상 경품 추첨 행사 등

5. 이용요금
(1) 좌석
- 프리미엄 사전 예약존 : 42,750원(45,000원에서 5% 할인가격)
*현장 이용 신청시 45,000원
- 자유석 : 무료"
서울 라이프스타일 투어,2024.09.25 ~ 2024.11.10,서울특별시 용산구 이태원로 153 (이태원동),비용 정보 없음,"서울시 관광특구의 활성화를 목적으로 서울시 7개 관광특구만의 독특한 매력과 문화를 경험할 수 있는 특별한 축제가 열린다. Find your Seoul, 7Stories, 3Links 라는 슬로건 아래 서울의 라이프스타일을 경험 할 수 있다. 축제는 서울 크리에이터 주간, 트렌트세터 주간, 엔터테이너 주간 총 3개의 주간으로, 크리에이터 주간은 이태원과 홍대 문화예술 관광특구, 트렌드세터 주간은 종로청계, 동대문 패션타운, 명동 관광특구, 엔터테이너 주간은 잠실, 강남 마이스 관광특구에서 진행된다. 특화체험으로는 지역의 역사와 문화를 이해하고 로컬 음식 문화와 문화예술을 즐길 수 있는 '가스트로 앤 아트투어'와 서울의 과거와 현재가 만나는 공간에서 즐기는 인장, 신발, 티셔츠 만들기 체험과 도심 속에서 즐기는 다양한 낭만 버스킹 투어가 진행된다.
[행사내용]
· 첫 번째 이야기. 서울 크리에이터 주간
- 날짜 : 9.25 (수) ~ 9.29 (일)
- 장소 : 이태원관광특구(이태원로 153), 홍대문화예술관광특구(레드로드발전소 앞 광장)

· 두 번째 이야기. 서울 트렌드세터 주간
- 날짜 : 10.09 (수) ~ 10.13 (일)
- 장소 : 종로청계관광특구(다시세운광장), 동대문패션타운관광특구(현대시티아울렛), 명동 관광특구(명동예술극장 앞)

· 세 번째 이야기. 서울 엔터테이너 주간
- 날짜 : 11.06 (수) ~ 11.10 (일)
- 장소 : 잠실관광특구(석촌호수 수변무대), 강남마이스관광특구(코엑스)

주간별 특화체험
· 크리에이터 투어 : 크리에이터와 함께 다양한 세계문화와 홍대 로컬문화를 경험하고 이야기하는 가스트로&아트투어
(크리에이터 라인업: 9.26 프셰므, 9.27 에바, 9.28 줄리안, 9.29 크리스)
· 트렌드세터 투어 : 서울의 과거와 현재가 만나는 공간에서 즐기는 한글 인장, 한국적 문양 커스텀 신발, 스탠실 티셔츠 만들기
· 엔터테이너 투어 : 도심 속에서 즐기는 퍼포먼스, 버스킹, 마술 등의 다양한 낭만 버스킹 투어

특구탐험단
서울의 관광특구를 방문하거나 서울 라이프 스타일 투어를 직접 체험하며 SNS를 통해 널리 알리는 집단
· 참여기간 : 2024년 9월 25일(수) ~ 11월 10일 (일)
· 선정기간 : 2024년 9월 25일(수)
· 참여자격 : SNS 개인채널 보유자 (인스타그램, 블로그, 유튜브, 페이스북 외 다수 SNS 채널)
· 혜택 : 서울시 굿즈 기념품 등"
천안흥타령춤축제,2024.09.25 ~ 2024.09.29,충청남도 천안시 서북구 번영로 208 종합운동장  천안시종합운동장일원,무료,"2003년 처음으로 개최한 천안흥타령춤축제는 문화체육관광부로부터 6년 연속 지역대표공연예술제로 선정되었으며, 2020년부터 문화체육관광부 지정 <명예문화관광축제>로 선정되었다. 매년 80만여명이 넘는 국내·외 관광객이 방문하고 있다.
[행사내용]
1. 공식행사 : 환영리셉션, 개막식 및 축하공연, 폐막식
2. 전국춤경연대회 : 일반부, 청소년부, 흥타령부
3. 거리댄스퍼레이드 : 국내·외 팀들과 시민이 함께 참여하는 국내 최대 규모의 「춤」을 테마로 한 거리댄스퍼레이드
4. 국제춤대회 : 수준높은 해외팀 확대 운영 및 다양한 국가의 춤 문화콘텐츠 제공
5. 스트릿댄스 페스티벌 : 트렌드를 반영한 스트릿댄스 장르 세계규모 경연대회
6. 부대경연 : 전국대학치어리딩대회, 전국대학무용경연대회, 막춤대첩 등
7. 체험 및 부대행사 등 : 시민 참여형 프로그램으로 가족, 어린이 체험 전용공간, 연계프로그램 등 운영"
밤의 석조전,2024.09.24 ~ 2024.11.02,서울특별시 중구 세종대로 99 덕수궁,"유료(1인 26,000원)","<밤의 석조전>은 전문 해설사와 함께하는 '석조전 야간 탐방'과 클래식 연주를 들으며 고종이 사랑했던 가배차(커피)와 디저트를 즐기는 '테라스 카페 체험', 고종 황제의 이야기를 담은 '고종, 대한의 꿈' 뮤지컬 공연 관람으로 구성되어 있는 덕수궁 야간 관람 프로그램이다. 2021년 시범 사업을 시작으로 높은 만족도와 호응에 힘입어 2022년 정식 개최되었으며, 2023년부터 반기별로 운영되고 있다. 궁인의 안내에 따라 대한제국 황실의 이야기를 품은 덕수궁 석조전으로 시간 여행을 떠나는 특별한 경험을 선사한다.
[행사내용]
1. 석조전 야간 탐방 : 석조전 대하제국역사관 전시 관람 및 해설
2. 테라스 카페 체험 : 석조전 2층 테라스에서 즐기는 고종의 가배 및 디저트 시식 체험 (다과 2종 제공 / 음료 4종 중 1택)
3. 접견실 뮤지컬 : 대한제국 시기를 엿볼 수 있는 창작뮤지컬 <고종, 대한의 꿈> 관람
4. 인생궁컷 : 개화기 소품과 함께 석조전의 야경을 배경으로 찍는 셀프 포토박스 기념사진 촬영

*할인정보
- 장애의 정도가 심한 장애인(구 1~3급) : 본인 및 동반 1인 50% 할인
- 장애의 정도가 심하지 않은 장애인(구 4~6급) : 본인만 50% 할인
- 국가유공자 : 50% 할인"
광주프린지페스티벌,2024.09.21 ~ 2024.09.29,광주광역시 북구 비엔날레로 111 (용봉동),무료,"광주광역시 대표 공연예술축제 2024 광주프린지페스티벌이 주제별(거리예술·스트릿댄스)로 이원화하여 금남로 일대~광주비엔날레~광주광역시청 야외음악당에서 개최한다. 올해로 9회를 맞은 광주프린지페스티벌은 광주비엔날레와 연계하여 <어쩌다 마주친_____>을 주제로 광주광역시를 도시적이고 지역적인 관점에서 세심하게 들여다보며 일상의 시간이 특별한 순간으로 거듭나고, 예술가와 예술가 그리고 예술가와 시민이 소통하고 교류하며 연결되는 특별한 자리를 만들 예정이다.
[행사내용]
※ <거리예술축제> 2024. 9. 21. (토) ~ 9. 22. (일)
※ <스트릿댄스축제> 2024. 9. 28. (토) ~ 9. 29. (일)

9월 21일 (토) : 금남로 일대
9월 22일 (일) : 광주비엔날레
9월 28일 (토) ~ 29일 (일) : 광주광역시청 야외음악당

(거리예술축제)
1. 공연 프로그램 : 총 19편 내외
- 국내참가작 : 15편
※ 2024 광주 거리예술 프린지 아카데미 선정작(4편) 포함
- 해외초청작 : 3편
- 자체 기획·제작공연 : 1편
2. 부대 프로그램
- 광주비엔날레 연계 프로그램 : 광장의 소리
- 지역예술인 역량강화 멘토링 프로그램 : 2024 광주 거리예술 프린지 아카데미
- 거리예술 네트워크 포럼(페스티벌 센터) : 광주연결기지

(스트릿댄스축제)
1. 댄스배틀
- 예선 및 본선 현장 배틀
- 스트릿댄서 출신의 유명 가수 축하공연
2. 퍼포먼스
- 예선(비대면 영상 심사) 및 본선(현장 심사) 배틀
- 경연 시작 전 유명 저지들의 퍼포먼스 시연"
